name,quadrant,ring,isNew,description,
VMware Horizon,Applications,Manage,TRUE,"<p>End User Compute</p>",

HashiCorp Terraform,Tools,Deliver,TRUE,"<p>Cloud Automation</p>",
VMware Tanzu,Platforms,Deliver,TRUE,"<p>Modern Applications</p>",
VMware vRealize Automation,Tools,Deliver,TRUE,"<p>Cloud Automation</p>",

Veeam Backup,Tools,Sell,FALSE,"<p>Cloud Backup</p>",
RedHat OpenShift,Platforms,Sell,FALSE,"<p>Modern Applications</p>",

SUSE Rancher Labs,Platforms,Pursue,FALSE,"<p>Modern Applications</p>",
D2iQ Kubernetes,Platforms,Pursue,FALSE,"<p>Modern Applications</p>",
Cisco SecureX,Security,Pursue,FALSE,"<p>Secure Access Services Edge</p>",
Cisco Viptella,Platforms,Pursue,FALSE,"<Secure Access Services Edge</p>",
Azure Virtual Desktops,Applications,Pursue,FALSE,"<p>End User Compute</p>",
AWS Workspaces,Applications,Pursue,FALSE,"<p>End USer Compute</p>",


